#                                           2 1 -     6.99 2      -8.43464E-01
#
    27.00000  8.56784E+00  0.00000E+00  0.00000E+00  8.56784E+00
#
#                       P.E. =    28.00     n,l -        E,l             R_int
#                                           2 1 -     7.99 0      -4.07556E-01
#                                           2 1 -     7.99 2      -8.40390E-01
#
    28.00000  8.73612E+00  0.00000E+00  0.00000E+00  8.73612E+00
#
#                       P.E. =    29.00     n,l -        E,l             R_int
#                                           2 1 -     8.99 0      -3.89308E-01
#                                           2 1 -     8.99 2      -8.35356E-01
#
    29.00000  8.86809E+00  0.00000E+00  0.00000E+00  8.86809E+00
#
#                       P.E. =    30.00     n,l -        E,l             R_int
#                                           2 1 -     9.99 0      -3.72482E-01
#                                           2 1 -     9.99 2      -8.28821E-01
#
    30.00000  8.96891E+00  0.00000E+00  0.00000E+00  8.96891E+00
#
#                       P.E. =    31.00     n,l -        E,l             R_int
#                                           2 1 -    10.99 0      -3.56921E-01
#                                           2 1 -    10.99 2      -8.21135E-01
#
    31.00000  9.04293E+00  0.00000E+00  0.00000E+00  9.04293E+00
#
#                       P.E. =    32.00     n,l -        E,l             R_int
#                                           2 1 -    11.99 0      -3.42490E-01
#                                           2 1 -    11.99 2      -8.12571E-01
#
    32.00000  9.09383E+00  0.00000E+00  0.00000E+00  9.09383E+00
#
#                       P.E. =    33.00     n,l -        E,l             R_int
#                                           2 1 -    12.99 0      -3.29072E-01
#                                           2 1 -    12.99 2      -8.03343E-01
#
    33.00000  9.12472E+00  0.00000E+00  0.00000E+00  9.12472E+00
#
#                       P.E. =    34.00     n,l -        E,l             R_int
#                                           2 1 -    13.99 0      -3.16565E-01
#                                           2 1 -    13.99 2      -7.93617E-01
#
    34.00000  9.13822E+00  0.00000E+00  0.00000E+00  9.13822E+00
#
#                       P.E. =    35.00     n,l -        E,l             R_int
#                                           2 1 -    14.99 0      -3.04883E-01
#                                           2 1 -    14.99 2      -7.83525E-01
#
