# ---------------------------------------------------------------------
# XATOM HFS : electronic structure of atoms and more, v2.0.0-15-g9da229
#
# Job started at  :  8-Aug-2024  9:43:58
# ---------------------------------------------------------------------
# Atom: Ne
#   nuclear charge:   10
#   total electrons:  10
#   total charge:     +0
#   configuration: 1s2_2s2_2p6
#
# Computational method:
#   exchange functional: Slater (Latter tail correction)
#   correlation functional: none
#
# Grid for the spherical coordinate:
#   N =  200
#   L parameter =      1.0
#   Rmax(a.u.)  =     50.0
#   lmax  =    1
#
# SCF converged after   21 iterations
#   energy convergence  =  2.092E-08
#   density convergence =  4.990E-07
#
# Energies: 
# - zeroth-order energy (a.u.):
#   SUM of E_orb   =     -70.56886464  [     -1920.28 eV ]
#   (SUM of E_kin) =     132.75037885
#   (Effec. pot E) =    -203.31924349
#
# - first-order energy (a.u.): with DFT formula
#   Kinetic E      =     132.75037885
#   E Latter corr  =      -0.07669013
#   Nuc-Elec pot E =    -317.06633335    One-Elec E =    -184.39264463
#
#   Hartree E      =      68.21763872
#   Exchange E     =     -16.95862309
#   Correlation E  =       0.00000000    Two-Elec E =      51.25901563
#   ---------------------------------
#   Total Energy   =    -133.13362900  [     -3622.75 eV ]
#
#                E(0)        E(1)
# |E_TOT|    -1920.28    -3622.75
#
# Orbital energies: 
#        n_occ        E(a.u.)          E(eV)         KE(eV)
#   1s       2   -31.49465456    -857.013120    1273.910550
#   2s       2    -1.58368578     -43.094281     150.142665
#   2p       6    -0.73536400     -20.010272     127.369171
#
#              1s        2s        2p
# |SCF|   -857.01    -43.09    -20.01
#
# Plotting of radial bound states [ u(r) = r R(r) ] on nonuniform grids
r(a.u.)         1s         2s         2p
  4.590E-01  3.529E-01  9.107E-01 -9.426E-01
  4.744E-01  3.168E-01  9.406E-01 -9.531E-01
  4.902E-01  2.834E-01  9.682E-01 -9.624E-01
  5.064E-01  2.525E-01  9.934E-01 -9.703E-01
  5.231E-01  2.241E-01  1.016E+00 -9.769E-01
  5.403E-01  1.981E-01  1.036E+00 -9.822E-01
  5.579E-01  1.744E-01  1.053E+00 -9.862E-01
  5.760E-01  1.528E-01  1.068E+00 -9.887E-01
  5.946E-01  1.334E-01  1.080E+00 -9.899E-01
  6.137E-01  1.159E-01  1.089E+00 -9.897E-01
  6.334E-01  1.002E-01  1.095E+00 -9.881E-01
  6.536E-01  8.625E-02  1.099E+00 -9.851E-01
  6.744E-01  7.387E-02  1.100E+00 -9.807E-01
  6.958E-01  6.296E-02  1.098E+00 -9.749E-01
  7.178E-01  5.338E-02  1.093E+00 -9.679E-01
  7.404E-01  4.502E-02  1.086E+00 -9.595E-01
  7.637E-01  3.776E-02  1.076E+00 -9.498E-01
  7.876E-01  3.149E-02  1.064E+00 -9.389E-01
  8.123E-01  2.611E-02  1.050E+00 -9.267E-01
  8.377E-01  2.152E-02  1.033E+00 -9.134E-01
  8.638E-01  1.762E-02  1.014E+00 -8.990E-01
  8.907E-01  1.434E-02  9.937E-01 -8.835E-01
  9.184E-01  1.159E-02  9.711E-01 -8.670E-01
  9.469E-01  9.308E-03  9.467E-01 -8.495E-01
  9.764E-01  7.420E-03  9.207E-01 -8.311E-01
  1.007E+00  5.872E-03  8.934E-01 -8.118E-01
  1.038E+00  4.611E-03  8.647E-01 -7.918E-01
  1.070E+00  3.593E-03  8.349E-01 -7.711E-01
  1.103E+00  2.776E-03  8.041E-01 -7.497E-01
  1.138E+00  2.127E-03  7.725E-01 -7.278E-01
  1.173E+00  1.616E-03  7.403E-01 -7.053E-01
  1.209E+00  1.216E-03  7.076E-01 -6.825E-01
  1.247E+00  9.066E-04  6.745E-01 -6.592E-01
  1.286E+00  6.692E-04  6.412E-01 -6.357E-01
  1.326E+00  4.889E-04  6.079E-01 -6.120E-01
  1.368E+00  3.534E-04  5.748E-01 -5.881E-01
  1.410E+00  2.526E-04  5.419E-01 -5.642E-01
  1.455E+00  1.785E-04  5.094E-01 -5.403E-01
  1.500E+00  1.246E-04  4.774E-01 -5.165E-01
  1.548E+00  8.591E-05  4.461E-01 -4.928E-01
  1.597E+00  5.846E-05  4.156E-01 -4.695E-01
  1.648E+00  3.924E-05  3.861E-01 -4.464E-01
  1.700E+00  2.597E-05  3.575E-01 -4.237E-01
  1.754E+00  1.693E-05  3.299E-01 -4.014E-01
  1.811E+00  1.087E-05  3.035E-01 -3.796E-01
  1.869E+00  6.868E-06  2.782E-01 -3.582E-01
  1.930E+00  4.266E-06  2.540E-01 -3.373E-01
  1.992E+00  2.603E-06  2.311E-01 -3.169E-01
  2.057E+00  1.559E-06  2.093E-01 -2.969E-01
  2.125E+00  9.158E-07  1.889E-01 -2.775E-01
  2.195E+00  5.270E-07  1.696E-01 -2.587E-01
  2.268E+00  2.968E-07  1.516E-01 -2.405E-01
  2.344E+00  1.635E-07  1.348E-01 -2.229E-01
