# ---------------------------------------------------------------------
# XATOM HFS : electronic structure of atoms and more, v2.0.0-15-g9da229
#
# Job started at  :  8-Aug-2024  9:44:16
# ---------------------------------------------------------------------
# Atom: Ar
#   nuclear charge:   18
#   total electrons:  18
#   total charge:     +0
#   configuration: 1s2_2s2_2p6_3s2_3p6
#
# Computational method:
#   exchange functional: Slater (Latter tail correction)
#   correlation functional: none
#
# Grid for the spherical coordinate:
#   N =  200
#   L parameter =      1.0
#   Rmax(a.u.)  =     50.0
#   lmax  =    1
#
# SCF converged after   24 iterations
#   energy convergence  = -6.005E-08
#   density convergence =  1.824E-08
#
# Energies: 
# - zeroth-order energy (a.u.):
#   SUM of E_orb   =    -315.32894667  [     -8580.54 eV ]
#   (SUM of E_kin) =     538.31112886
#   (Effec. pot E) =    -853.64007553
#
# - first-order energy (a.u.): with DFT formula
#   Kinetic E      =     538.31112886
#   E Latter corr  =      -0.04560505
#   Nuc-Elec pot E =   -1271.74584183    One-Elec E =    -733.48031802
#
#   Hartree E      =     237.44887030
#   Exchange E     =     -42.55977694
#   Correlation E  =       0.00000000    Two-Elec E =     194.88909336
#   ---------------------------------
#   Total Energy   =    -538.59122466  [    -14655.81 eV ]
#
#                E(0)        E(1)
# |E_TOT|    -8580.54   -14655.81
#
# Orbital energies: 
#        n_occ        E(a.u.)          E(eV)         KE(eV)
#   1s       2  -116.26634367   -3163.768054    4220.775799
#   2s       2   -11.43275460    -311.101069     691.023908
#   2p       6    -9.10418205    -247.737388     673.728820
#   3s       2    -1.05375271     -28.674069     118.403503
#   3p       6    -0.53302540     -14.504359      90.901862
#
#              1s        2s        2p        3s        3p
# |SCF|  -3163.77   -311.10   -247.74    -28.67    -14.50
#
# Plotting of radial bound states [ u(r) = r R(r) ] on nonuniform grids
r(a.u.)         1s         2s         2p         3s         3p
  1.818E-01  1.111E+00  8.754E-01  1.392E+00  3.099E-01  3.882E-01
  1.897E-01  1.013E+00  9.604E-01  1.427E+00  3.364E-01  3.942E-01
  1.978E-01  9.191E-01  1.042E+00  1.458E+00  3.611E-01  3.989E-01
  2.061E-01  8.306E-01  1.120E+00  1.487E+00  3.839E-01  4.021E-01
  2.147E-01  7.475E-01  1.193E+00  1.513E+00  4.045E-01  4.038E-01
  2.235E-01  6.697E-01  1.262E+00  1.535E+00  4.228E-01  4.040E-01
  2.325E-01  5.974E-01  1.326E+00  1.554E+00  4.386E-01  4.026E-01
  2.418E-01  5.306E-01  1.384E+00  1.569E+00  4.516E-01  3.994E-01
  2.513E-01  4.691E-01  1.437E+00  1.581E+00  4.618E-01  3.945E-01
  2.611E-01  4.128E-01  1.483E+00  1.588E+00  4.691E-01  3.879E-01
  2.711E-01  3.616E-01  1.524E+00  1.592E+00  4.732E-01  3.794E-01
  2.815E-01  3.153E-01  1.558E+00  1.593E+00  4.741E-01  3.691E-01
  2.921E-01  2.735E-01  1.587E+00  1.589E+00  4.717E-01  3.569E-01
  3.030E-01  2.362E-01  1.608E+00  1.582E+00  4.660E-01  3.429E-01
  3.142E-01  2.029E-01  1.624E+00  1.571E+00  4.570E-01  3.270E-01
  3.256E-01  1.734E-01  1.633E+00  1.556E+00  4.446E-01  3.093E-01
  3.374E-01  1.474E-01  1.636E+00  1.538E+00  4.288E-01  2.897E-01
  3.495E-01  1.247E-01  1.632E+00  1.517E+00  4.097E-01  2.684E-01
  3.620E-01  1.049E-01  1.623E+00  1.492E+00  3.874E-01  2.453E-01
  3.748E-01  8.771E-02  1.609E+00  1.464E+00  3.618E-01  2.205E-01
  3.879E-01  7.294E-02  1.588E+00  1.433E+00  3.332E-01  1.940E-01
  4.013E-01  6.031E-02  1.563E+00  1.400E+00  3.015E-01  1.660E-01
  4.152E-01  4.958E-02  1.533E+00  1.364E+00  2.671E-01  1.365E-01
  4.294E-01  4.050E-02  1.498E+00  1.325E+00  2.300E-01  1.056E-01
  4.440E-01  3.288E-02  1.459E+00  1.285E+00  1.903E-01  7.342E-02
  4.590E-01  2.652E-02  1.417E+00  1.242E+00  1.484E-01  4.003E-02
  4.744E-01  2.125E-02  1.371E+00  1.198E+00  1.044E-01  5.546E-03
  4.902E-01  1.691E-02  1.322E+00  1.153E+00  5.856E-02 -2.990E-02
  5.064E-01  1.337E-02  1.271E+00  1.106E+00  1.107E-02 -6.618E-02
  5.231E-01  1.049E-02  1.218E+00  1.058E+00 -3.778E-02 -1.032E-01
  5.403E-01  8.174E-03  1.163E+00  1.010E+00 -8.775E-02 -1.407E-01
  5.579E-01  6.320E-03  1.106E+00  9.613E-01 -1.386E-01 -1.787E-01
  5.760E-01  4.849E-03  1.049E+00  9.123E-01 -1.899E-01 -2.169E-01
  5.946E-01  3.690E-03  9.915E-01  8.634E-01 -2.416E-01 -2.553E-01
  6.137E-01  2.786E-03  9.338E-01  8.148E-01 -2.932E-01 -2.936E-01
  6.334E-01  2.085E-03  8.763E-01  7.666E-01 -3.446E-01 -3.318E-01
  6.536E-01  1.547E-03  8.195E-01  7.192E-01 -3.954E-01 -3.697E-01
  6.744E-01  1.138E-03  7.635E-01  6.726E-01 -4.454E-01 -4.070E-01
  6.958E-01  8.288E-04  7.088E-01  6.271E-01 -4.943E-01 -4.437E-01
  7.178E-01  5.980E-04  6.556E-01  5.828E-01 -5.417E-01 -4.797E-01
  7.404E-01  4.273E-04  6.040E-01  5.399E-01 -5.876E-01 -5.146E-01
  7.637E-01  3.022E-04  5.543E-01  4.985E-01 -6.315E-01 -5.485E-01
  7.876E-01  2.115E-04  5.068E-01  4.587E-01 -6.734E-01 -5.812E-01
  8.123E-01  1.464E-04  4.614E-01  4.206E-01 -7.128E-01 -6.125E-01
  8.377E-01  1.002E-04  4.183E-01  3.843E-01 -7.497E-01 -6.422E-01
  8.638E-01  6.780E-05  3.777E-01  3.498E-01 -7.838E-01 -6.703E-01
  8.907E-01  4.532E-05  3.395E-01  3.173E-01 -8.149E-01 -6.966E-01
  9.184E-01  2.992E-05  3.038E-01  2.866E-01 -8.429E-01 -7.210E-01
  9.469E-01  1.950E-05  2.706E-01  2.578E-01 -8.677E-01 -7.434E-01
  9.764E-01  1.254E-05  2.399E-01  2.310E-01 -8.890E-01 -7.637E-01
  1.007E+00  7.950E-06  2.116E-01  2.061E-01 -9.068E-01 -7.818E-01
  1.038E+00  4.969E-06  1.857E-01  1.830E-01 -9.211E-01 -7.975E-01
  1.070E+00  3.060E-06  1.622E-01  1.618E-01 -9.317E-01 -8.109E-01
  1.103E+00  1.855E-06  1.408E-01  1.423E-01 -9.387E-01 -8.219E-01
  1.138E+00  1.107E-06  1.216E-01  1.246E-01 -9.421E-01 -8.304E-01
  1.173E+00  6.493E-07  1.044E-01  1.086E-01 -9.419E-01 -8.365E-01
  1.209E+00  3.743E-07  8.915E-02  9.407E-02 -9.381E-01 -8.400E-01
  1.247E+00  2.119E-07  7.563E-02  8.107E-02 -9.309E-01 -8.410E-01
  1.286E+00  1.178E-07  6.375E-02  6.948E-02 -9.203E-01 -8.396E-01
  1.326E+00  6.416E-08  5.338E-02  5.919E-02 -9.065E-01 -8.357E-01
  1.368E+00  3.425E-08  4.440E-02  5.012E-02 -8.897E-01 -8.295E-01
  1.410E+00  1.790E-08  3.666E-02  4.217E-02 -8.699E-01 -8.209E-01
  1.455E+00  9.151E-09  3.006E-02  3.526E-02 -8.476E-01 -8.101E-01
  1.500E+00  4.571E-09  2.445E-02  2.927E-02 -8.227E-01 -7.972E-01
  1.548E+00  2.229E-09  1.973E-02  2.413E-02 -7.957E-01 -7.822E-01
  1.597E+00  1.060E-09  1.579E-02  1.975E-02 -7.666E-01 -7.653E-01
  1.648E+00  4.911E-10  1.253E-02  1.604E-02 -7.359E-01 -7.466E-01
  1.700E+00  2.214E-10  9.856E-03  1.292E-02 -7.037E-01 -7.262E-01
  1.754E+00  9.696E-11  7.679E-03  1.033E-02 -6.703E-01 -7.043E-01
  1.811E+00  4.122E-11  5.925E-03  8.180E-03 -6.359E-01 -6.811E-01
  1.869E+00  1.698E-11  4.526E-03  6.421E-03 -6.009E-01 -6.567E-01
  1.930E+00  6.773E-12  3.421E-03  4.994E-03 -5.655E-01 -6.312E-01
  1.992E+00  2.610E-12  2.557E-03  3.845E-03 -5.300E-01 -6.049E-01
  2.057E+00  9.700E-13  1.889E-03  2.930E-03 -4.946E-01 -5.779E-01
  2.125E+00  3.437E-13  1.379E-03  2.209E-03 -4.595E-01 -5.504E-01
  2.195E+00  1.162E-13  9.940E-04  1.647E-03 -4.251E-01 -5.225E-01
  2.268E+00  3.732E-14  7.070E-04  1.214E-03 -3.914E-01 -4.945E-01
  2.344E+00  1.293E-14  4.960E-04  8.831E-04 -3.587E-01 -4.665E-01
  2.422E+00  3.521E-15  3.429E-04  6.343E-04 -3.272E-01 -4.387E-01
  2.504E+00  1.302E-15  2.335E-04  4.495E-04 -2.971E-01 -4.113E-01
  2.589E+00  1.869E-16  1.565E-04  3.141E-04 -2.684E-01 -3.844E-01
  2.678E+00 -1.979E-15  1.031E-04  2.163E-04 -2.414E-01 -3.581E-01
  2.770E+00 -2.462E-16  6.681E-05  1.466E-04 -2.159E-01 -3.326E-01
